dataset,method,repetition,repetition_name,idx,threshold,average_precision
PV_in_HC,cellpose,3,cyto,1377,0.85,0.4318182
PV_in_HC,cellpose,3,cyto,1377,0.8999999999999999,0.16666667
PV_in_HC,cellpose,3,cyto,1377,0.95,0.0
PV_in_HC,cellpose,3,cyto,1385,0.5,0.27272728
PV_in_HC,cellpose,3,cyto,1385,0.55,0.27272728
PV_in_HC,cellpose,3,cyto,1385,0.6,0.27272728
PV_in_HC,cellpose,3,cyto,1385,0.65,0.27272728
PV_in_HC,cellpose,3,cyto,1385,0.7,0.27272728
PV_in_HC,cellpose,3,cyto,1385,0.75,0.27272728
PV_in_HC,cellpose,3,cyto,1385,0.8,0.27272728
PV_in_HC,cellpose,3,cyto,1385,0.85,0.27272728
PV_in_HC,cellpose,3,cyto,1385,0.8999999999999999,0.27272728
PV_in_HC,cellpose,3,cyto,1385,0.95,0.0
PV_in_HC,cellpose,3,cyto,1418,0.5,0.8333333
PV_in_HC,cellpose,3,cyto,1418,0.55,0.8333333
PV_in_HC,cellpose,3,cyto,1418,0.6,0.7906977
PV_in_HC,cellpose,3,cyto,1418,0.65,0.7906977
PV_in_HC,cellpose,3,cyto,1418,0.7,0.75
PV_in_HC,cellpose,3,cyto,1418,0.75,0.75
PV_in_HC,cellpose,3,cyto,1418,0.8,0.6041667
PV_in_HC,cellpose,3,cyto,1418,0.85,0.50980395
PV_in_HC,cellpose,3,cyto,1418,0.8999999999999999,0.24193548
PV_in_HC,cellpose,3,cyto,1418,0.95,0.0
PV_in_HC,cellpose,3,cyto,1444,0.5,0.9047619
PV_in_HC,cellpose,3,cyto,1444,0.55,0.9047619
PV_in_HC,cellpose,3,cyto,1444,0.6,0.9047619
PV_in_HC,cellpose,3,cyto,1444,0.65,0.9047619
PV_in_HC,cellpose,3,cyto,1444,0.7,0.9047619
PV_in_HC,cellpose,3,cyto,1444,0.75,0.9047619
PV_in_HC,cellpose,3,cyto,1444,0.8,0.9047619
PV_in_HC,cellpose,3,cyto,1444,0.85,0.9047619
PV_in_HC,cellpose,3,cyto,1444,0.8999999999999999,0.53846157
PV_in_HC,cellpose,3,cyto,1444,0.95,0.0
PV_in_HC,cellpose,3,cyto,1582,0.5,0.78571427
PV_in_HC,cellpose,3,cyto,1582,0.55,0.78571427
PV_in_HC,cellpose,3,cyto,1582,0.6,0.78571427
PV_in_HC,cellpose,3,cyto,1582,0.65,0.78571427
PV_in_HC,cellpose,3,cyto,1582,0.7,0.78571427
PV_in_HC,cellpose,3,cyto,1582,0.75,0.7241379
PV_in_HC,cellpose,3,cyto,1582,0.8,0.7241379
PV_in_HC,cellpose,3,cyto,1582,0.85,0.61290324
PV_in_HC,cellpose,3,cyto,1582,0.8999999999999999,0.31578946
PV_in_HC,cellpose,3,cyto,1582,0.95,0.0
PV_in_HC,cellpose,3,cyto,1599,0.5,0.9
PV_in_HC,cellpose,3,cyto,1599,0.55,0.8095238
PV_in_HC,cellpose,3,cyto,1599,0.6,0.8095238
PV_in_HC,cellpose,3,cyto,1599,0.65,0.8095238
PV_in_HC,cellpose,3,cyto,1599,0.7,0.8095238
PV_in_HC,cellpose,3,cyto,1599,0.75,0.72727275
PV_in_HC,cellpose,3,cyto,1599,0.8,0.65217394
PV_in_HC,cellpose,3,cyto,1599,0.85,0.46153846
PV_in_HC,cellpose,3,cyto,1599,0.8999999999999999,0.26666668
PV_in_HC,cellpose,3,cyto,1599,0.95,0.027027028
PV_in_HC,cellpose_single,1,1,1237,0.5,1.0
PV_in_HC,cellpose_single,1,1,1237,0.55,1.0
PV_in_HC,cellpose_single,1,1,1237,0.6,1.0
PV_in_HC,cellpose_single,1,1,1237,0.65,1.0
PV_in_HC,cellpose_single,1,1,1237,0.7,1.0
PV_in_HC,cellpose_single,1,1,1237,0.75,1.0
PV_in_HC,cellpose_single,1,1,1237,0.8,1.0
PV_in_HC,cellpose_single,1,1,1237,0.85,0.6666667
PV_in_HC,cellpose_single,1,1,1237,0.8999999999999999,0.11111111
PV_in_HC,cellpose_single,1,1,1237,0.95,0.0
PV_in_HC,cellpose_single,1,1,1283,0.5,0.54545456
PV_in_HC,cellpose_single,1,1,1283,0.55,0.54545456
PV_in_HC,cellpose_single,1,1,1283,0.6,0.54545456
PV_in_HC,cellpose_single,1,1,1283,0.65,0.54545456
PV_in_HC,cellpose_single,1,1,1283,0.7,0.54545456
PV_in_HC,cellpose_single,1,1,1283,0.75,0.54545456
PV_in_HC,cellpose_single,1,1,1283,0.8,0.54545456
PV_in_HC,cellpose_single,1,1,1283,0.85,0.21428572
PV_in_HC,cellpose_single,1,1,1283,0.8999999999999999,0.0625
PV_in_HC,cellpose_single,1,1,1283,0.95,0.0
PV_in_HC,cellpose_single,1,1,1377,0.5,0.6363636
PV_in_HC,cellpose_single,1,1,1377,0.55,0.6363636
PV_in_HC,cellpose_single,1,1,1377,0.6,0.6363636
PV_in_HC,cellpose_single,1,1,1377,0.65,0.5882353
PV_in_HC,cellpose_single,1,1,1377,0.7,0.54285717
PV_in_HC,cellpose_single,1,1,1377,0.75,0.54285717
PV_in_HC,cellpose_single,1,1,1377,0.8,0.35
PV_in_HC,cellpose_single,1,1,1377,0.85,0.25581396
PV_in_HC,cellpose_single,1,1,1377,0.8999999999999999,0.08
PV_in_HC,cellpose_single,1,1,1377,0.95,0.0
PV_in_HC,cellpose_single,1,1,1385,0.5,1.0
PV_in_HC,cellpose_single,1,1,1385,0.55,1.0
PV_in_HC,cellpose_single,1,1,1385,0.6,1.0
PV_in_HC,cellpose_single,1,1,1385,0.65,1.0
PV_in_HC,cellpose_single,1,1,1385,0.7,1.0
PV_in_HC,cellpose_single,1,1,1385,0.75,1.0
PV_in_HC,cellpose_single,1,1,1385,0.8,0.5
PV_in_HC,cellpose_single,1,1,1385,0.85,0.2
PV_in_HC,cellpose_single,1,1,1385,0.8999999999999999,0.0
PV_in_HC,cellpose_single,1,1,1385,0.95,0.0
PV_in_HC,cellpose_single,1,1,1418,0.5,0.9166667
PV_in_HC,cellpose_single,1,1,1418,0.55,0.8648649
PV_in_HC,cellpose_single,1,1,1418,0.6,0.8648649
PV_in_HC,cellpose_single,1,1,1418,0.65,0.81578946
PV_in_HC,cellpose_single,1,1,1418,0.7,0.81578946
PV_in_HC,cellpose_single,1,1,1418,0.75,0.7692308
PV_in_HC,cellpose_single,1,1,1418,0.8,0.7692308
PV_in_HC,cellpose_single,1,1,1418,0.85,0.60465115
PV_in_HC,cellpose_single,1,1,1418,0.8999999999999999,0.18965517
PV_in_HC,cellpose_single,1,1,1418,0.95,0.0
PV_in_HC,cellpose_single,1,1,1444,0.5,1.0
PV_in_HC,cellpose_single,1,1,1444,0.55,1.0
PV_in_HC,cellpose_single,1,1,1444,0.6,1.0
PV_in_HC,cellpose_single,1,1,1444,0.65,1.0
PV_in_HC,cellpose_single,1,1,1444,0.7,1.0
PV_in_HC,cellpose_single,1,1,1444,0.75,1.0
PV_in_HC,cellpose_single,1,1,1444,0.8,0.9047619
PV_in_HC,cellpose_single,1,1,1444,0.85,0.53846157
PV_in_HC,cellpose_single,1,1,1444,0.8999999999999999,0.21212122
PV_in_HC,cellpose_single,1,1,1444,0.95,0.0
PV_in_HC,cellpose_single,1,1,1582,0.5,0.9166667
PV_in_HC,cellpose_single,1,1,1582,0.55,0.9166667
PV_in_HC,cellpose_single,1,1,1582,0.6,0.84
PV_in_HC,cellpose_single,1,1,1582,0.65,0.84
PV_in_HC,cellpose_single,1,1,1582,0.7,0.84
PV_in_HC,cellpose_single,1,1,1582,0.75,0.84
PV_in_HC,cellpose_single,1,1,1582,0.8,0.7037037
PV_in_HC,cellpose_single,1,1,1582,0.85,0.53333336
PV_in_HC,cellpose_single,1,1,1582,0.8999999999999999,0.069767445
PV_in_HC,cellpose_single,1,1,1582,0.95,0.0
PV_in_HC,cellpose_single,1,1,1599,0.5,0.8095238
PV_in_HC,cellpose_single,1,1,1599,0.55,0.8095238
PV_in_HC,cellpose_single,1,1,1599,0.6,0.72727275
PV_in_HC,cellpose_single,1,1,1599,0.65,0.72727275
PV_in_HC,cellpose_single,1,1,1599,0.7,0.72727275
PV_in_HC,cellpose_single,1,1,1599,0.75,0.65217394
PV_in_HC,cellpose_single,1,1,1599,0.8,0.5833333
PV_in_HC,cellpose_single,1,1,1599,0.85,0.52
PV_in_HC,cellpose_single,1,1,1599,0.8999999999999999,0.15151516
PV_in_HC,cellpose_single,1,1,1599,0.95,0.0
PV_in_HC,cellpose_single,2,2,1237,0.5,1.0
PV_in_HC,cellpose_single,2,2,1237,0.55,1.0
PV_in_HC,cellpose_single,2,2,1237,0.6,1.0
PV_in_HC,cellpose_single,2,2,1237,0.65,1.0
PV_in_HC,cellpose_single,2,2,1237,0.7,1.0
PV_in_HC,cellpose_single,2,2,1237,0.75,1.0
PV_in_HC,cellpose_single,2,2,1237,0.8,0.6666667
PV_in_HC,cellpose_single,2,2,1237,0.85,0.42857143
PV_in_HC,cellpose_single,2,2,1237,0.8999999999999999,0.11111111
PV_in_HC,cellpose_single,2,2,1237,0.95,0.0
PV_in_HC,cellpose_single,2,2,1283,0.5,0.54545456
PV_in_HC,cellpose_single,2,2,1283,0.55,0.54545456
PV_in_HC,cellpose_single,2,2,1283,0.6,0.54545456
PV_in_HC,cellpose_single,2,2,1283,0.65,0.54545456
PV_in_HC,cellpose_single,2,2,1283,0.7,0.54545456
PV_in_HC,cellpose_single,2,2,1283,0.75,0.54545456
PV_in_HC,cellpose_single,2,2,1283,0.8,0.30769232
PV_in_HC,cellpose_single,2,2,1283,0.85,0.21428572
PV_in_HC,cellpose_single,2,2,1283,0.8999999999999999,0.13333334
